pair,category,score_raw,score_rounded,score_clamped,band
AB,harmony,60.00,60,60,Warm
AB,heat,49.50,50,50,Warm
AB,communication,47.00,47,47,Open
AB,alignment,50.00,50,50,Warm
AB,comfort,55.00,55,55,Warm
AB,consistency,50.50,51,51,Warm
AB,expansion,54.00,54,54,Warm
AB,creativity,61.50,62,62,Warm
AB,drive,64.00,64,64,Warm
AB,balance,52.00,52,52,Warm
BA,harmony,60.00,60,60,Warm
BA,heat,49.50,50,50,Warm
BA,communication,47.00,47,47,Open
BA,alignment,50.00,50,50,Warm
BA,comfort,55.00,55,55,Warm
BA,consistency,50.50,51,51,Warm
BA,expansion,54.00,54,54,Warm
BA,creativity,61.50,62,62,Warm
BA,drive,64.00,64,64,Warm
BA,balance,52.00,52,52,Warm
