 schemaname |           tablename            |                            indexname                            |                                                                                  indexdef                                                                                  
------------+--------------------------------+-----------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 hde        | chart_snapshot                 | chart_snapshot_pkey                                             | CREATE UNIQUE INDEX chart_snapshot_pkey ON hde.chart_snapshot USING btree (id)
 hde        | chart_snapshot                 | chart_snapshot_user_id_release_id_key                           | CREATE UNIQUE INDEX chart_snapshot_user_id_release_id_key ON hde.chart_snapshot USING btree (user_id, release_id)
 hde        | meta                           | meta_pkey                                                       | CREATE UNIQUE INDEX meta_pkey ON hde.meta USING btree (id)
 hde        | pair_evaluation                | idx_pair_eval_evaluated_at                                      | CREATE INDEX idx_pair_eval_evaluated_at ON ONLY hde.pair_evaluation USING btree (evaluated_at)
 hde        | pair_evaluation                | idx_pair_eval_id                                                | CREATE INDEX idx_pair_eval_id ON ONLY hde.pair_evaluation USING btree (id)
 hde        | pair_evaluation                | idx_pair_eval_release                                           | CREATE INDEX idx_pair_eval_release ON ONLY hde.pair_evaluation USING btree (release_id)
 hde        | pair_evaluation                | pair_evaluation_min_user_max_user_release_id_evaluated_at_key   | CREATE UNIQUE INDEX pair_evaluation_min_user_max_user_release_id_evaluated_at_key ON ONLY hde.pair_evaluation USING btree (min_user, max_user, release_id, evaluated_at)
 hde        | pair_evaluation                | pair_evaluation_pkey                                            | CREATE UNIQUE INDEX pair_evaluation_pkey ON ONLY hde.pair_evaluation USING btree (id, evaluated_at)
 hde        | pair_evaluation_pcur           | pair_evaluation_pcur_evaluated_at_idx                           | CREATE INDEX pair_evaluation_pcur_evaluated_at_idx ON hde.pair_evaluation_pcur USING btree (evaluated_at)
 hde        | pair_evaluation_pcur           | pair_evaluation_pcur_id_idx                                     | CREATE INDEX pair_evaluation_pcur_id_idx ON hde.pair_evaluation_pcur USING btree (id)
 hde        | pair_evaluation_pcur           | pair_evaluation_pcur_min_user_max_user_release_id_evaluated_key | CREATE UNIQUE INDEX pair_evaluation_pcur_min_user_max_user_release_id_evaluated_key ON hde.pair_evaluation_pcur USING btree (min_user, max_user, release_id, evaluated_at)
 hde        | pair_evaluation_pcur           | pair_evaluation_pcur_pkey                                       | CREATE UNIQUE INDEX pair_evaluation_pcur_pkey ON hde.pair_evaluation_pcur USING btree (id, evaluated_at)
 hde        | pair_evaluation_pcur           | pair_evaluation_pcur_release_id_idx                             | CREATE INDEX pair_evaluation_pcur_release_id_idx ON hde.pair_evaluation_pcur USING btree (release_id)
 hde        | public_results                 | idx_public_results_created_at                                   | CREATE INDEX idx_public_results_created_at ON ONLY hde.public_results USING btree (created_at)
 hde        | public_results                 | idx_public_results_id                                           | CREATE INDEX idx_public_results_id ON ONLY hde.public_results USING btree (id)
 hde        | public_results                 | idx_public_results_release_id                                   | CREATE INDEX idx_public_results_release_id ON ONLY hde.public_results USING btree (release_id)
 hde        | public_results                 | public_results_pkey                                             | CREATE UNIQUE INDEX public_results_pkey ON ONLY hde.public_results USING btree (id, created_at)
 hde        | public_results_pcur            | public_results_pcur_created_at_idx                              | CREATE INDEX public_results_pcur_created_at_idx ON hde.public_results_pcur USING btree (created_at)
 hde        | public_results_pcur            | public_results_pcur_id_idx                                      | CREATE INDEX public_results_pcur_id_idx ON hde.public_results_pcur USING btree (id)
 hde        | public_results_pcur            | public_results_pcur_pkey                                        | CREATE UNIQUE INDEX public_results_pcur_pkey ON hde.public_results_pcur USING btree (id, created_at)
 hde        | public_results_pcur            | public_results_pcur_release_id_idx                              | CREATE INDEX public_results_pcur_release_id_idx ON hde.public_results_pcur USING btree (release_id)
 public     | admin_action_log               | admin_action_log_pkey                                           | CREATE UNIQUE INDEX admin_action_log_pkey ON public.admin_action_log USING btree (id)
 public     | birth_data                     | birth_data_pkey                                                 | CREATE UNIQUE INDEX birth_data_pkey ON public.birth_data USING btree (user_id)
 public     | birth_data                     | idx_birth_data_city                                             | CREATE INDEX idx_birth_data_city ON public.birth_data USING btree (location_city)
 public     | birth_data                     | idx_birth_data_country                                          | CREATE INDEX idx_birth_data_country ON public.birth_data USING btree (location_country)
 public     | birth_data                     | idx_birth_data_source                                           | CREATE INDEX idx_birth_data_source ON public.birth_data USING btree (location_source)
 public     | birth_data                     | idx_birth_data_verified                                         | CREATE INDEX idx_birth_data_verified ON public.birth_data USING btree (location_verified)
 public     | compatibility_matrix           | compatibility_matrix_pkey                                       | CREATE UNIQUE INDEX compatibility_matrix_pkey ON public.compatibility_matrix USING btree (user_a_id, user_b_id)
 public     | email_notifications            | email_notifications_pkey                                        | CREATE UNIQUE INDEX email_notifications_pkey ON public.email_notifications USING btree (id)
 public     | human_design_data              | human_design_data_pkey                                          | CREATE UNIQUE INDEX human_design_data_pkey ON public.human_design_data USING btree (user_id)
 public     | user_preferences               | user_preferences_pkey                                           | CREATE UNIQUE INDEX user_preferences_pkey ON public.user_preferences USING btree (user_id)
 public     | user_priorities                | user_priorities_pkey                                            | CREATE UNIQUE INDEX user_priorities_pkey ON public.user_priorities USING btree (user_id)
 public     | user_profiles                  | user_profiles_pkey                                              | CREATE UNIQUE INDEX user_profiles_pkey ON public.user_profiles USING btree (id)
 public     | user_profiles                  | user_profiles_user_id_key                                       | CREATE UNIQUE INDEX user_profiles_user_id_key ON public.user_profiles USING btree (user_id)
 public     | user_resonance_prefs           | user_resonance_prefs_pkey                                       | CREATE UNIQUE INDEX user_resonance_prefs_pkey ON public.user_resonance_prefs USING btree (user_id)
 public     | user_resonance_signals_private | user_resonance_signals_private_pkey                             | CREATE UNIQUE INDEX user_resonance_signals_private_pkey ON public.user_resonance_signals_private USING btree (user_id)
 public     | user_sessions                  | ix_user_sessions_session_token                                  | CREATE UNIQUE INDEX ix_user_sessions_session_token ON public.user_sessions USING btree (session_token)
 public     | user_sessions                  | user_sessions_pkey                                              | CREATE UNIQUE INDEX user_sessions_pkey ON public.user_sessions USING btree (id)
 public     | users                          | ix_users_email                                                  | CREATE UNIQUE INDEX ix_users_email ON public.users USING btree (email)
 public     | users                          | users_pkey                                                      | CREATE UNIQUE INDEX users_pkey ON public.users USING btree (id)
(40 rows)

