 table_schema |           table_name           |      column_name       | ordinal_position |          data_type          | is_nullable |                 column_default                  
--------------+--------------------------------+------------------------+------------------+-----------------------------+-------------+-------------------------------------------------
 hde          | chart_snapshot                 | id                     |                1 | uuid                        | NO          | 
 hde          | chart_snapshot                 | user_id                |                2 | text                        | NO          | 
 hde          | chart_snapshot                 | release_id             |                3 | text                        | NO          | 
 hde          | chart_snapshot                 | chart_json             |                4 | jsonb                       | NO          | 
 hde          | chart_snapshot                 | provider               |                5 | text                        | NO          | 
 hde          | chart_snapshot                 | fingerprint            |                6 | text                        | NO          | 
 hde          | chart_snapshot                 | computed_at            |                7 | timestamp with time zone    | NO          | now()
 hde          | meta                           | id                     |                1 | text                        | NO          | 
 hde          | meta                           | engine_tag             |                2 | text                        | NO          | 
 hde          | meta                           | build_commit           |                3 | text                        | NO          | 
 hde          | meta                           | invocation_tag         |                4 | text                        | NO          | 
 hde          | meta                           | emitter_sha256         |                5 | text                        | NO          | 
 hde          | meta                           | created_at             |                6 | timestamp with time zone    | NO          | now()
 hde          | pair_evaluation                | id                     |                1 | uuid                        | NO          | 
 hde          | pair_evaluation                | min_user               |                2 | text                        | NO          | 
 hde          | pair_evaluation                | max_user               |                3 | text                        | NO          | 
 hde          | pair_evaluation                | release_id             |                4 | text                        | NO          | 
 hde          | pair_evaluation                | bands_json             |                5 | jsonb                       | NO          | 
 hde          | pair_evaluation                | internal_json          |                6 | jsonb                       | YES         | 
 hde          | pair_evaluation                | idempotence_hash       |                7 | text                        | NO          | 
 hde          | pair_evaluation                | evaluated_at           |                8 | timestamp with time zone    | NO          | now()
 hde          | pair_evaluation_pcur           | id                     |                1 | uuid                        | NO          | 
 hde          | pair_evaluation_pcur           | min_user               |                2 | text                        | NO          | 
 hde          | pair_evaluation_pcur           | max_user               |                3 | text                        | NO          | 
 hde          | pair_evaluation_pcur           | release_id             |                4 | text                        | NO          | 
 hde          | pair_evaluation_pcur           | bands_json             |                5 | jsonb                       | NO          | 
 hde          | pair_evaluation_pcur           | internal_json          |                6 | jsonb                       | YES         | 
 hde          | pair_evaluation_pcur           | idempotence_hash       |                7 | text                        | NO          | 
 hde          | pair_evaluation_pcur           | evaluated_at           |                8 | timestamp with time zone    | NO          | now()
 hde          | public_results                 | id                     |                1 | uuid                        | NO          | 
 hde          | public_results                 | release_id             |                2 | text                        | NO          | 
 hde          | public_results                 | payload                |                3 | jsonb                       | NO          | 
 hde          | public_results                 | created_at             |                4 | timestamp with time zone    | NO          | now()
 hde          | public_results_pcur            | id                     |                1 | uuid                        | NO          | 
 hde          | public_results_pcur            | release_id             |                2 | text                        | NO          | 
 hde          | public_results_pcur            | payload                |                3 | jsonb                       | NO          | 
 hde          | public_results_pcur            | created_at             |                4 | timestamp with time zone    | NO          | now()
 public       | admin_action_log               | id                     |                1 | integer                     | NO          | nextval('admin_action_log_id_seq'::regclass)
 public       | admin_action_log               | admin_user_id          |                2 | integer                     | YES         | 
 public       | admin_action_log               | action                 |                3 | character varying           | NO          | 
 public       | admin_action_log               | target_user_id         |                4 | integer                     | YES         | 
 public       | admin_action_log               | details                |                5 | text                        | YES         | 
 public       | admin_action_log               | timestamp              |                6 | timestamp without time zone | YES         | 
 public       | birth_data                     | user_id                |                1 | integer                     | NO          | 
 public       | birth_data                     | birth_date             |                2 | date                        | YES         | 
 public       | birth_data                     | birth_time             |                3 | time without time zone      | YES         | 
 public       | birth_data                     | birth_location         |                4 | character varying           | YES         | 
 public       | birth_data                     | latitude               |                5 | numeric                     | YES         | 
 public       | birth_data                     | longitude              |                6 | numeric                     | YES         | 
 public       | birth_data                     | data_consent           |                7 | boolean                     | YES         | 
 public       | birth_data                     | sharing_consent        |                8 | boolean                     | YES         | 
 public       | birth_data                     | location_display_name  |                9 | text                        | YES         | 
 public       | birth_data                     | location_country       |               10 | character varying           | YES         | 
 public       | birth_data                     | location_state         |               11 | character varying           | YES         | 
 public       | birth_data                     | location_city          |               12 | character varying           | YES         | 
 public       | birth_data                     | location_importance    |               13 | numeric                     | YES         | 
 public       | birth_data                     | location_osm_id        |               14 | bigint                      | YES         | 
 public       | birth_data                     | location_osm_type      |               15 | character varying           | YES         | 
 public       | birth_data                     | timezone               |               16 | character varying           | YES         | 
 public       | birth_data                     | location_source        |               17 | character varying           | YES         | 'manual'::character varying
 public       | birth_data                     | location_verified      |               18 | boolean                     | YES         | false
 public       | compatibility_matrix           | user_a_id              |                1 | integer                     | NO          | 
 public       | compatibility_matrix           | user_b_id              |                2 | integer                     | NO          | 
 public       | compatibility_matrix           | love_score             |                3 | smallint                    | YES         | 
 public       | compatibility_matrix           | intimacy_score         |                4 | smallint                    | YES         | 
 public       | compatibility_matrix           | communication_score    |                5 | smallint                    | YES         | 
 public       | compatibility_matrix           | friendship_score       |                6 | smallint                    | YES         | 
 public       | compatibility_matrix           | collaboration_score    |                7 | smallint                    | YES         | 
 public       | compatibility_matrix           | lifestyle_score        |                8 | smallint                    | YES         | 
 public       | compatibility_matrix           | decisions_score        |                9 | smallint                    | YES         | 
 public       | compatibility_matrix           | support_score          |               10 | smallint                    | YES         | 
 public       | compatibility_matrix           | growth_score           |               11 | smallint                    | YES         | 
 public       | compatibility_matrix           | space_score            |               12 | smallint                    | YES         | 
 public       | compatibility_matrix           | overall_score          |               13 | smallint                    | YES         | 
 public       | compatibility_matrix           | calculated_at          |               14 | timestamp without time zone | YES         | 
 public       | email_notifications            | id                     |                1 | integer                     | NO          | nextval('email_notifications_id_seq'::regclass)
