run:viability-check utc:2025-12-11T17:41:37.593056+00:00
token PR_OPENED_OK: COVERED
token TESTS_PASS_OK: COVERED
token DOC_DELTA_PRESENT_OK: COVERED
token EVIDENCE_INDEX_UPDATED_OK: COVERED
token MACHINE_MIRROR_UPDATED_OK: COVERED
token EVIDENCE_INDEX_HASH_OK: COVERED
token QA_PRECOMMIT_CHECKLIST_OK: COVERED
token QA_POSTCOMMIT_CHECKLIST_OK: COVERED
token ENV_RAILS_POLICY_OK: COVERED
token EVIDENCE_INDEX_MIRROR_OK: COVERED
token EVIDENCE_PATHS_VALIDATED_OK: COVERED
token DETERMINISM_ENV_PINS_OK: COVERED
token SANITY_PIPELINE_OK: COVERED
token CLI_READER_EMITTER_PARITY_OK: COVERED
token CLI_NO_ALT_JSON_OK: COVERED
token JSON_CANONICAL_CHECK_OK: COVERED
token ERROR_JSON_CANON_OK: COVERED
token CLI_SERIALIZER_GUARD_OK: COVERED
token CI_CHECK_MIRROR_SCHEMA_OK: COVERED
token SANITY_PIPELINE_LOGGED_OK: COVERED
token QA_STEP_LOGS_CONSOLIDATED_OK: COVERED
token PF04-DD-QA-BOOTSTRAP-TOKENS: PLANNED
token PF19-DD-QA-PLAN-VIABILITY-TOKENS: PLANNED
summary: COVERED=21 PLANNED=2 MISSING=0
